"Submission ID","Last updated","Submission started","Status","Current step","University","Faculty","Age","Class","Gender","Untitled MultipleChoice field","Untitled MultipleChoice field (1)","Sources","Rate from 1 to 10","Untitled MultipleChoice field (3)","Untitled MultipleChoice field (4)","Untitled MultipleChoice field (2)","Untitled OpinionScale field","Errors","Url","Network ID"
"38787a50-b3b3-42ad-a4f7-7ea1b63882a1","Tue May 21 2024 17:34:00 GMT+0300 (GMT+03:00)","Tue May 21 2024 17:31:00 GMT+0300 (GMT+03:00)","finished","Ending",""," Faculty of Education","23-25","1","Female","Yes","2021","Friends","8","Precious Metals","Income more than expenses","No","6","None","https://build.fillout.com/editor/ne5UqhK3VRus/results?sessionId=38787a50-b3b3-42ad-a4f7-7ea1b63882a1","648b6d5f789e19139bb1bbf1ee6bc598"
"76998e56-c8ec-45f4-9803-25abf7a1e5ea","Tue May 14 2024 19:16:00 GMT+0300 (GMT+03:00)","Tue May 14 2024 19:15:00 GMT+0300 (GMT+03:00)","finished","Ending","","Faculty of Engineering","20-22","3","Male","No","","Social Media,Internet,Friends","7","Precious Metals","Income more than expenses","Yes","5","None","https://build.fillout.com/editor/ne5UqhK3VRus/results?sessionId=76998e56-c8ec-45f4-9803-25abf7a1e5ea","3b2de3c002e418ca9a77ff9310b9943c"
"735d07e1-3f84-4b50-9425-69db2bd38412","Mon Feb 12 2024 20:49:00 GMT+0300 (GMT+03:00)","Mon Feb 12 2024 20:47:00 GMT+0300 (GMT+03:00)","finished","Ending","","Faculty of Engineering","20-22","2","Not prefer to say","Yes","2023","TV News,Internet","3","Precious Metals","Income less than expenses","Yes","1","None","https://build.fillout.com/editor/ne5UqhK3VRus/results?sessionId=735d07e1-3f84-4b50-9425-69db2bd38412","9b91d88c1bbd03fa2f4b6ae693b24a4c"
"14695f0b-4855-4e7a-9163-26e0507e57c9","Mon Jan 29 2024 20:14:00 GMT+0300 (GMT+03:00)","Mon Jan 29 2024 20:12:00 GMT+0300 (GMT+03:00)","finished","Ending","","Faculty of Engineering","34","1","Male","No","","TV News,Social Media,Internet,Friends","8","Foreign Currencies","Income more than expenses","Yes","7","None","https://build.fillout.com/editor/ne5UqhK3VRus/results?sessionId=14695f0b-4855-4e7a-9163-26e0507e57c9","f0a7ec59e44cde5f204b9456dcc2cbb2"
"479ca2a4-e11b-4bb1-b162-b78095a86eb4","Sat Jan 27 2024 21:02:00 GMT+0300 (GMT+03:00)","Sat Jan 27 2024 21:01:00 GMT+0300 (GMT+03:00)","finished","Ending","","Faculty of Engineering","23-25","1","Female","No","","TV News,Social Media,Internet,Friends","4","Other","Income less than expenses","No","5","None","https://build.fillout.com/editor/ne5UqhK3VRus/results?sessionId=479ca2a4-e11b-4bb1-b162-b78095a86eb4","b021238fc060fc24dacfdea58ebadf4e"
"060b39a1-1be0-4dff-9da7-acc9ed8c144d","Sat Jan 27 2024 13:05:00 GMT+0300 (GMT+03:00)","Sat Jan 27 2024 13:03:00 GMT+0300 (GMT+03:00)","finished","Ending",""," Faculty of Economic and Administrative Sciences","23-25","2","Female","No","","Social Media,Internet","4","Saving Accounts","Income less than expenses","No","4","None","https://build.fillout.com/editor/ne5UqhK3VRus/results?sessionId=060b39a1-1be0-4dff-9da7-acc9ed8c144d","755b8e17e3f042a7d8c456416b35daca"
"777ec7e7-5fd9-419b-be7c-63b800689982","Fri Jan 26 2024 00:51:00 GMT+0300 (GMT+03:00)","Fri Jan 26 2024 00:49:00 GMT+0300 (GMT+03:00)","finished","Ending",""," Faculty of Arts and Sciences","23-25","3","Female","No","","TV News,Social Media,Internet,Friends","3","Foreign Currencies","Equal","Yes","4","None","https://build.fillout.com/editor/ne5UqhK3VRus/results?sessionId=777ec7e7-5fd9-419b-be7c-63b800689982","3a3a8c2bb9aa97cce479fda8c1df8f64"
"e456e74a-9efc-47ab-9be9-e6ad08b72e24","Thu Jan 25 2024 22:12:00 GMT+0300 (GMT+03:00)","Thu Jan 25 2024 22:10:00 GMT+0300 (GMT+03:00)","finished","Ending","","Faculty of Engineering","20-22","1","Female","No","","TV News,Social Media,Internet,Friends,Books & Magazines","8","Precious Metals","Income more than expenses","Yes","1","None","https://build.fillout.com/editor/ne5UqhK3VRus/results?sessionId=e456e74a-9efc-47ab-9be9-e6ad08b72e24","c65f44704499bd0758056042d10c9e31"
"4235e4ea-d843-44ed-a124-a20f0f460876","Thu Jan 25 2024 14:18:00 GMT+0300 (GMT+03:00)","Thu Jan 25 2024 14:15:00 GMT+0300 (GMT+03:00)","finished","Ending",""," Faculty of Economic and Administrative Sciences","20-22","1","Female","No","","Social Media,Internet,Friends","4","Foreign Currencies","Income less than expenses","Yes","4","None","https://build.fillout.com/editor/ne5UqhK3VRus/results?sessionId=4235e4ea-d843-44ed-a124-a20f0f460876","15469f4cb7c2bd95af4391e2e4cdd540"
"9ff51357-e211-43c5-837b-97b50556f1d1","Wed Jan 24 2024 16:29:00 GMT+0300 (GMT+03:00)","Wed Jan 24 2024 16:27:00 GMT+0300 (GMT+03:00)","finished","Ending","","Faculty of Engineering","20-22","1","Male","Yes","2023","Friends","8","Stock Markets","Income more than expenses","No","5","None","https://build.fillout.com/editor/ne5UqhK3VRus/results?sessionId=9ff51357-e211-43c5-837b-97b50556f1d1","6d27452f885f4699a4fca964b1a8e551"
